Link Text,URL
Volkswagen Group - Deliveries to customers - December 2022 - 2023-01-12,https://uploads.vw-mms.de/system/production/files/cws/035/733/file/a05c707c12e04aa529ddbbf2de9994515c90dace/20230110_Deliveries_Tables.pdf?1681808465
Volkswagen Group - Deliveries to customers - November 2022 - 2022-12-19,https://uploads.vw-mms.de/system/production/files/cws/039/058/file/b2c3e9e2c1c70b11f5cd6f6056a36f3d84115452/Volkswagen_Konzern_-_Auslieferungen_an_Kunden_-_November_2022_Englisch_-_19_12_2022.pdf?1686065473
Volkswagen Group - Deliveries to customers - October 2022 - 2022-11-11,https://uploads.vw-mms.de/system/production/files/cws/035/737/file/995872135d89acf38520fe685bb59dfa00797b43/20221110_Deliveries_Tables.pdf?1681808465
Volkswagen Group - Deliveries to customers - September 2022 - 2022-10-14,https://uploads.vw-mms.de/system/production/files/cws/035/739/file/f9ccf6b3b233e6eb066e0bb8dbe3a4d1a9693b6f/20221013_Deliveries_September.pdf?1681808466
Volkswagen Group - Deliveries to customers - August 2022 - 2022-09-16,https://uploads.vw-mms.de/system/production/files/cws/035/803/file/c304a10998b52d48f17b35cf6ba8bf6f8a62cc97/20220915_Deliveries_Tables_August.pdf?1681821979
Volkswagen Group - Deliveries to customers - July 2022 - 2022-08-12,https://uploads.vw-mms.de/system/production/files/cws/035/741/file/c5bf90c9ac96aa01a62fd3b65c6443c30a71851d/20220812_Deliveries_Tables_Juli.pdf?1681808466
Volkswagen Group - Deliveries to customers - June 2022 - 2022-07-15,https://uploads.vw-mms.de/system/production/files/cws/035/743/file/a682b8ace03edba6b2759d80dd63b2e7fec5e50a/20220714_Deliveries_Tables_juni.pdf?1681808466
Volkswagen Group - Deliveries to customers - May 2022 - 2022-06-17,https://uploads.vw-mms.de/system/production/files/cws/035/745/file/62b31703a074141a2266763504a9a52d19b4ca28/20220616_Deliveries_Tables_Mai.pdf?1681808466
Volkswagen Group - Deliveries to customers - April 2022 - 2022-05-13,https://uploads.vw-mms.de/system/production/files/cws/035/747/file/5764f2b83be55c7bf26122bcef56beee8b0227d5/20220512_Deliveries_Tables_April.pdf?1681808466
Volkswagen Group - Deliveries to customers - March 2022 - 2022-04-14,https://uploads.vw-mms.de/system/production/files/cws/035/749/file/24fd9af8febc9d0873556aed654aa6f446430570/20220414_Deliveries_Table_03_2022.pdf?1681808466
Volkswagen Group - Deliveries to customers - February 2022 - 2022-03-11,https://uploads.vw-mms.de/system/production/files/cws/035/751/file/6405b4b464eba5daeefa5271a54e2dc67eae7470/20220310_Deliveries_Tables_Feburary.pdf?1681808467
Volkswagen Group - Deliveries to customers - January 2022 - 2022-02-11,https://uploads.vw-mms.de/system/production/files/cws/035/753/file/343dca8e14ed128203472ae2011d8c862dfc4796/20220210_Deliveries_Tables_january.pdf?1681808467
